Kanji	Hanzi	Syllabe	Label	DansDict	FichierJap	Pinyin	ModePin	Mode2Pin	LieuPin	FichierCh
感	感	kan	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4034.T2.jp.snt	gǎn	occlusive	non_aspiree	velaire	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0770.T2.ch.snt
先	先	sen	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2582.T2.jp.snt	xiān	fricative	sourde	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1030.T2.ch.snt
生	生	sei	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2582.T2.jp.snt	shēng	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0682.T2.ch.snt
思	思	omo	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2582.T2.jp.snt	sī	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0615.T2.ch.snt
理	理	ri	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2582.T2.jp.snt	lǐ	laterale	_	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0518.T2.ch.snt
由	由	yuu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2582.T2.jp.snt	yóu	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0920.T2.ch.snt
将	将	shou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0669.T2.jp.snt	jiāng	affriquee	non_aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0774.T2.ch.snt
来	来	rai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0669.T2.jp.snt	lái	laterale	_	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0753.T2.ch.snt
将	将	shou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0669.T2.jp.snt	jiāng	affriquee	non_aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0774.T2.ch.snt
来	来	rai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0669.T2.jp.snt	lái	laterale	_	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1167.T2.ch.snt
出	出	de	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1833.T2.jp.snt	chū	affriquee	aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0324.T2.ch.snt
来	来	ki	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1833.T2.jp.snt	lái	laterale	_	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0004.T2.ch.snt
家	家	ie	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1833.T2.jp.snt	jiā	affriquee	non_aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0551.T2.ch.snt
手	手	te	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1833.T2.jp.snt	shǒu	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0708.T2.ch.snt
見	见	mi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3479.T2.jp.snt	jiàn	affriquee	non_aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1250.T2.ch.snt
気	气	ki	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3479.T2.jp.snt	qì	affriquee	aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0918.T2.ch.snt
好	好	su	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3464.T2.jp.snt	hǎo	fricative	sourde	velaire	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0503.T2.ch.snt
優	优	yuu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3464.T2.jp.snt	yōu	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0144.T2.ch.snt
大	大	dai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3692.T2.jp.snt	dà	occlusive	non_aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0337.T2.ch.snt
夫	夫	bu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3692.T2.jp.snt	fū	fricative	sourde	labio-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0236.T2.ch.snt
二	二	ni	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0785.T2.jp.snt	èr	voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0353.T2.ch.snt
時	时	ji	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0785.T2.jp.snt	shí	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0767.T2.ch.snt
間	间	kan	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0785.T2.jp.snt	jiān	affriquee	non_aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1175.T2.ch.snt
以	以	i	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0785.T2.jp.snt	yǐ	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0549.T2.ch.snt
内	内	nai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0785.T2.jp.snt	nèi	laterale	_	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0829.T2.ch.snt
工	工	kou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3114.T2.jp.snt	gōng	occlusive	non_aspiree	velaire	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1066.T2.ch.snt
事	事	ji	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3114.T2.jp.snt	shì	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0822.T2.ch.snt
工	工	kou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3114.T2.jp.snt	gōng	occlusive	non_aspiree	velaire	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1066.T2.ch.snt
事	事	ji	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3114.T2.jp.snt	shì	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0018.T2.ch.snt
休	休	yasu	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3119.T2.jp.snt	xiū	fricative	sourde	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0021.T2.ch.snt
時	时	toki	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3119.T2.jp.snt	shí	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0341.T2.ch.snt
休	休	yasu	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3119.T2.jp.snt	xiū	fricative	sourde	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0021.T2.ch.snt
人	人	nin	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1994.T2.jp.snt	rén	fricative	sonore	retroflexe	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1098.T2.ch.snt
猫	猫	neko	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1994.T2.jp.snt	māo	nasale	_	bilabiale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0063.T2.ch.snt
場	场	ba	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1994.T2.jp.snt	chǎng	affriquee	aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0845.T2.ch.snt
所	所	sho	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1994.T2.jp.snt	suǒ	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0830.T2.ch.snt
確	确	tashi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4131.T2.jp.snt	què	affriquee	aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0846.T2.ch.snt
画	画	ga	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0556.T2.jp.snt	huà	fricative	sourde	velaire	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0060.T2.ch.snt
何	何	nani	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0263.T2.jp.snt	hé	fricative	sourde	velaire	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0805.T2.ch.snt
無	无	mu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0263.T2.jp.snt	wú	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1095.T2.ch.snt
買	买	ka	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0263.T2.jp.snt	mǎi	nasale	_	bilabiale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1207.T2.ch.snt
方	方	hou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0263.T2.jp.snt	fāng	fricative	sourde	labio-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1112.T2.ch.snt
無	无	mu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0263.T2.jp.snt	wú	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1095.T2.ch.snt
思	思	omo	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0263.T2.jp.snt	sī	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0958.T2.ch.snt
何	何	nani	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0263.T2.jp.snt	hé	fricative	sourde	velaire	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0671.T2.ch.snt
何	何	nani	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0263.T2.jp.snt	hé	fricative	sourde	velaire	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0805.T2.ch.snt
満	满	man	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2209.T2.jp.snt	mǎn	nasale	_	bilabiale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1195.T2.ch.snt
足	足	zoku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2209.T2.jp.snt	zú	affriquee	non_aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0129.T2.ch.snt
完	完	kan	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2209.T2.jp.snt	wán	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0116.T2.ch.snt
全	全	zen	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2209.T2.jp.snt	quán	affriquee	aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0490.T2.ch.snt
満	满	man	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2209.T2.jp.snt	mǎn	nasale	_	bilabiale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1193.T2.ch.snt
足	足	zoku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2209.T2.jp.snt	zú	affriquee	non_aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0653.T2.ch.snt
不	不	fu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2209.T2.jp.snt	bù	occlusive	non_aspiree	bilabiale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0680.T2.ch.snt
利	利	ri	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2209.T2.jp.snt	lì	laterale	_	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0668.T2.ch.snt
一	一	ichi	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1956.T2.jp.snt	yī	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0938.T2.ch.snt
年	年	nen	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1956.T2.jp.snt	nián	laterale	_	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0805.T2.ch.snt
前	前	mae	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1956.T2.jp.snt	qián	affriquee	aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1217.T2.ch.snt
知	知	shi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4113.T2.jp.snt	zhī	affriquee	non_aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0950.T2.ch.snt
特	特	toku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4113.T2.jp.snt	tè	occlusive	aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1099.T2.ch.snt
応	应	ou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4113.T2.jp.snt	yīng	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1005.T2.ch.snt
事	事	goto	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0683.T2.jp.snt	shì	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0615.T2.ch.snt
社	社	sha	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0683.T2.jp.snt	shè	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0671.T2.ch.snt
会	会	kai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0683.T2.jp.snt	huì	fricative	sourde	velaire	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0254.T2.ch.snt
好	好	su	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3257.T2.jp.snt	hǎo	fricative	sourde	velaire	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0266.T2.ch.snt
自	自	ji	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3257.T2.jp.snt	zì	affriquee	non_aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0027.T2.ch.snt
分	分	bun	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3257.T2.jp.snt	fēn	fricative	sourde	labio-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0546.T2.ch.snt
買	买	ka	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3257.T2.jp.snt	mǎi	nasale	_	bilabiale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1213.T2.ch.snt
来	来	ki	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3257.T2.jp.snt	lái	laterale	_	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1280.T2.ch.snt
料	料	ryou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3257.T2.jp.snt	liào	laterale	_	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0834.T2.ch.snt
理	理	ri	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3257.T2.jp.snt	lǐ	laterale	_	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0743.T2.ch.snt
薦	荐	susu	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1488.T2.jp.snt	jiàn	affriquee	non_aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0664.T2.ch.snt
聞	闻	ki	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0827.T2.jp.snt	wén	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1267.T2.ch.snt
家	家	ka	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3534.T2.jp.snt	jiā	affriquee	non_aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1167.T2.ch.snt
族	族	zoku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3534.T2.jp.snt	zú	affriquee	non_aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0526.T2.ch.snt
行	行	i	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3534.T2.jp.snt	xíng	fricative	sourde	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0829.T2.ch.snt
今	今	ima	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3679.T2.jp.snt	jīn	affriquee	non_aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0002.T2.ch.snt
料	料	ryou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3661.T2.jp.snt	liào	laterale	_	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1075.T2.ch.snt
理	理	ri	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3661.T2.jp.snt	lǐ	laterale	_	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0488.T2.ch.snt
食	食	ta	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3661.T2.jp.snt	shí	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0574.T2.ch.snt
東	东	tou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3971.T2.jp.snt	dōng	occlusive	non_aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0078.T2.ch.snt
京	京	kyou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3971.T2.jp.snt	jīng	affriquee	non_aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0476.T2.ch.snt
静	静	shizu	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3971.T2.jp.snt	jìng	affriquee	non_aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0660.T2.ch.snt
行	行	i	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3971.T2.jp.snt	xíng	fricative	sourde	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0958.T2.ch.snt
今	今	kon	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1504.T2.jp.snt	jīn	affriquee	non_aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0895.T2.ch.snt
度	度	do	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1504.T2.jp.snt	dù	occlusive	non_aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0771.T2.ch.snt
行	行	i	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1504.T2.jp.snt	xíng	fricative	sourde	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0154.T2.ch.snt
思	思	omo	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1504.T2.jp.snt	sī	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0958.T2.ch.snt
三	三	san	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1886.T2.jp.snt	sān	fricative	sourde	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0061.T2.ch.snt
万	万	man	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1886.T2.jp.snt	wàn	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0505.T2.ch.snt
位	位	kurai	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1886.T2.jp.snt	wèi	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0477.T2.ch.snt
位	位	kurai	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1886.T2.jp.snt	wèi	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0116.T2.ch.snt
