Kanji	Hanzi	Syllabe	ModeSyl	Mode2Syl	LieuSyl	Label	DansDict	FichierJap	DebutJap	FinJap	Pinyin	ModePin	Mode2Pin	LieuPin	FichierCh	DebutCh	FinCh
大	大	dai	occlusive	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2161.T2.jp.snt	2.98	3.17	dà	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1280.T2.ch.snt	1.2	1.37
学	学	gaku	occlusive	sonore	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2161.T2.jp.snt	3.17	3.36	xué	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0165.T2.ch.snt	1.17	1.37
生	生	sei	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2161.T2.jp.snt	3.36	3.56	shēng	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0156.T2.ch.snt	6.34	6.66
自	自	ji	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3932.T2.jp.snt	0.97	1.49	zì	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0073.T2.ch.snt	0.86	1.19
分	分	bun	occlusive	sonore	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3932.T2.jp.snt	1.49	1.62	fēn	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1086.T2.ch.snt	0	0.1
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3932.T2.jp.snt	3.56	3.62	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0567.T2.ch.snt	8.16	8.29
体	体	tai	occlusive	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2174.T2.jp.snt	1.86	2.17	tǐ	occlusive	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0802.T2.ch.snt	8.63	8.77
重	重	juu	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2174.T2.jp.snt	2.17	2.34	zhòng	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0290.T2.ch.snt	23.75	23.94
界	界	kai	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0081.T2.jp.snt	0.4	0.59	jiè	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0913.T2.ch.snt	3.59	3.75
言	言	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0081.T2.jp.snt	1.32	1.42	yán	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0753.T2.ch.snt	10.08	10.31
一	一	i	voyelle	_	_	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1103.T2.jp.snt	0.68	1.04	yī	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0585.T2.ch.snt	5.36	5.48
喜	喜	yoroko	spirant	_	palatal	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1103.T2.jp.snt	1.56	1.75	xǐ	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0045.T2.ch.snt	1.49	1.64
考	考	kanga	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	1.06	1.12	kǎo	occlusive	aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Test_CH_0672.T2.ch.snt	11.55	11.73
思	思	omo	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	5.95	6.21	sī	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1227.T2.ch.snt	2.71	2.82
朝	朝	asa	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	7.77	7.99	cháo	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0504.T2.ch.snt	3.63	3.9
早	早	haya	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	7.99	8.31	zǎo	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0223.T2.ch.snt	14.41	14.65
起	起	o	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	8.31	8.43	qǐ	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0354.T2.ch.snt	6.12	6.34
歩	步	po	occlusive	sourde	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	10.65	12.23	bù	occlusive	non_aspiree	bilabiale	../Corpora/MSLT_Datas/MSLT_Test_CH_0490.T2.ch.snt	11.94	12.2
連	联	tsu	affriquee	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	12.44	12.53	lián	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0639.T2.ch.snt	4.96	5.16
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	12.75	12.81	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0061.T2.ch.snt	14.05	14.21
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	12.75	12.81	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0761.T2.ch.snt	18.94	19.27
考	考	kanga	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	1.06	1.12	kǎo	occlusive	aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Test_CH_0845.T2.ch.snt	14.06	14.24
難	难	muzuka	nasale	_	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	14.92	15.25	nán	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0495.T2.ch.snt	22.21	22.47
思	思	omo	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	5.95	6.21	sī	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0958.T2.ch.snt	17.45	17.6
猫	猫	neko	nasale	_	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	17.08	17.46	māo	nasale	_	bilabiale	../Corpora/MSLT_Datas/MSLT_Test_CH_1100.T2.ch.snt	10.79	11.1
思	思	omo	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	5.95	6.21	sī	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0915.T2.ch.snt	12.8	12.97
猫	猫	neko	nasale	_	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	17.08	17.46	māo	nasale	_	bilabiale	../Corpora/MSLT_Datas/MSLT_Test_CH_1093.T2.ch.snt	5.72	6.17
結	结	ke	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	20.35	20.58	jié	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0819.T2.ch.snt	17.57	17.75
構	构	kou	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	20.58	20.92	gòu	occlusive	non_aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_1210.T2.ch.snt	3.49	3.78
気	气	ki	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	22.15	22.3	qì	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_1175.T2.ch.snt	7.99	8.43
分	分	bun	occlusive	sonore	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	22.3	22.5	fēn	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0095.T2.ch.snt	0.96	1.14
屋	屋	ya	spirant	_	palatal	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	22.5	22.63	wū	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0238.T2.ch.snt	21.8	21.98
見	见	mi	nasale	_	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2753.T2.jp.snt	4.05	4.57	jiàn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0856.T2.ch.snt	8.3	8.6
読	读	yo	spirant	_	palatal	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2753.T2.jp.snt	5.16	5.41	dú	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0697.T2.ch.snt	1.82	1.96
方	方	hou	fricative	_	glottale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2753.T2.jp.snt	5.51	5.75	fāng	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0304.T2.ch.snt	1.92	2.08
好	好	su	fricative	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2753.T2.jp.snt	5.81	5.96	hǎo	fricative	sourde	velaire	../Corpora/MSLT_Datas/MSLT_Test_CH_0280.T2.ch.snt	3.91	3.97
麗	丽	rei	battue	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2639.T2.jp.snt	0.17	0.33	lì	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0357.T2.ch.snt	2.07	2.23
言	言	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2639.T2.jp.snt	0.46	0.55	yán	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0328.T2.ch.snt	5.77	6.01
話	话	hanashi	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2639.T2.jp.snt	0.56	0.9	huà	fricative	sourde	velaire	../Corpora/MSLT_Datas/MSLT_Test_CH_0367.T2.ch.snt	7.75	8
聞	闻	ki	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2639.T2.jp.snt	1	1.26	wén	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_1217.T2.ch.snt	27.53	27.81
私	私	watashi	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	1.72	2.02	sī	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0737.T2.ch.snt	8.93	9.19
海	海	kai	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	2.02	2.65	hǎi	fricative	sourde	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_0492.T2.ch.snt	10.33	10.63
外	外	gai	occlusive	sonore	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	2.65	2.71	wài	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0362.T2.ch.snt	8.43	8.59
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	2.71	2.79	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0766.T2.ch.snt	1	1.17
十	十	juu	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	7.06	7.22	shí	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0067.T2.ch.snt	1.36	1.52
二	二	ni	nasale	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	7.22	7.52	èr	voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0562.T2.ch.snt	26.84	26.99
月	月	gatsu	occlusive	sonore	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	7.52	9	yuè	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0637.T2.ch.snt	0.47	0.55
初	初	haji	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	9.17	9.4	chū	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0552.T2.ch.snt	6.14	6.42
初	初	haji	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	9.17	9.4	chū	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0367.T2.ch.snt	9.15	9.31
海	海	kai	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	2.02	2.65	hǎi	fricative	sourde	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_1208.T2.ch.snt	3.06	3.25
外	外	gai	occlusive	sonore	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	2.65	2.71	wài	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_1023.T2.ch.snt	3.81	3.92
旅	旅	ryo	battue	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	13.58	13.7	lǚ	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0492.T2.ch.snt	14.82	14.92
行	行	kou	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	2.71	2.79	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0434.T2.ch.snt	0.93	1.35
体	体	karada	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	1.43	1.84	tǐ	occlusive	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0569.T2.ch.snt	3.85	3.97
健	健	ken	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	2.21	2.36	jiàn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0460.T2.ch.snt	7.77	8.04
康	康	kou	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	2.36	2.56	kāng	occlusive	aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_1002.T2.ch.snt	3.24	3.56
湯	汤	yu	spirant	_	palatal	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	4.56	4.7	tāng	occlusive	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0575.T2.ch.snt	14.47	14.69
夏	夏	natsu	nasale	_	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	8.72	9.09	xià	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0013.T2.ch.snt	13.19	13.42
場	场	ba	occlusive	sonore	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	9.09	9.22	chǎng	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0365.T2.ch.snt	3.45	3.8
結	结	ke	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	9.96	10.17	jié	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0819.T2.ch.snt	17.57	17.75
構	构	kou	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	10.17	10.38	gòu	occlusive	non_aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_1210.T2.ch.snt	3.49	3.78
暑	暑	atsu	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	10.38	10.52	shǔ	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1022.T2.ch.snt	5.25	5.41
思	思	omo	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	10.84	10.95	sī	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1232.T2.ch.snt	3.17	3.32
女	女	onna	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0797.T2.jp.snt	0.6	0.89	nǚ	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0362.T2.ch.snt	7.34	7.54
選	选	sen	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0797.T2.jp.snt	1.02	1.29	xuǎn	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0519.T2.ch.snt	2.09	2.46
手	手	shu	fricative	sourde	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0797.T2.jp.snt	1.29	1.42	shǒu	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0514.T2.ch.snt	15.05	15.24
選	选	sen	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0797.T2.jp.snt	1.02	1.29	xuǎn	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0522.T2.ch.snt	1.23	1.49
手	手	shu	fricative	sourde	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0797.T2.jp.snt	1.29	1.42	shǒu	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0238.T2.ch.snt	3.81	3.99
他	他	hoka	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3387.T2.jp.snt	1.41	1.85	tā	occlusive	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0240.T2.ch.snt	4.02	4.34
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3387.T2.jp.snt	2.58	2.64	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0958.T2.ch.snt	0.85	1.15
父	父	fu	fricative	sourde	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	0.49	0.78	fù	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0311.T2.ch.snt	2.08	2.34
今	今	kon	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	1	1.2	jīn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_1038.T2.ch.snt	2.54	2.75
年	年	nen	nasale	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	1.2	1.57	nián	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0509.T2.ch.snt	7.37	7.64
九	九	kyuu	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	1.57	1.95	jiǔ	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0757.T2.ch.snt	0.95	1.23
十	十	juu	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	1.95	2.46	shí	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0006.T2.ch.snt	1.52	1.71
四	四	yon	spirant	_	palatal	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	2.95	3.27	sì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1022.T2.ch.snt	0.88	0.94
歳	岁	sai	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	3.27	3.71	suì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0287.T2.ch.snt	27.25	27.38
母	母	bo	occlusive	sonore	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	4.36	4.56	mǔ	nasale	_	bilabiale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0368.T2.ch.snt	5.98	6.15
今	今	kon	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	1	1.2	jīn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0002.T2.ch.snt	2.85	3.02
年	年	nen	nasale	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	1.2	1.57	nián	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0290.T2.ch.snt	9.44	9.67
九	九	kyuu	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	1.57	1.95	jiǔ	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0006.T2.ch.snt	3.59	3.83
十	十	juu	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	1.95	2.46	shí	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1118.T2.ch.snt	1.14	1.6
歳	岁	sai	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	3.27	3.71	suì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0408.T2.ch.snt	2.13	2.31
上	上	a	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3201.T2.jp.snt	0	0.8	shàng	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1111.T2.ch.snt	4.77	4.92
